Consulta,Segundos,Benchmark
Q1,0.2291267929995228,TPC-H
Q2,0.0484406680006941,TPC-H
Q3,0.0976949329997296,TPC-H
Q4,0.0906347430009191,TPC-H
Q5,0.0285792659997241,TPC-H
Q6,0.0328547320004872,TPC-H
Q7,0.037089430999913,TPC-H
Q8,0.0352175030002399,TPC-H
Q9,0.100175001000025,TPC-H
Q10,0.0569774199993844,TPC-H
Q11,0.0231491209997329,TPC-H
Q12,0.0674953170000662,TPC-H
Q13,0.0642911840004671,TPC-H
Q14,0.0387157709992607,TPC-H
Q16,0.037238189999698,TPC-H
Q17,18.979975957001443,TPC-H
Q18,0.2216541970010439,TPC-H
Q19,0.0578809090002323,TPC-H
Q20,35.67776323900034,TPC-H
Q21,0.0627537479995226,TPC-H
Q22,0.0365542740000819,TPC-H
Q1,126.1715382149996,TPC-DS
Q2,0.7248975809998228,TPC-DS
Q3,0.0365906390034069,TPC-DS
Q5,0.6103972630007775,TPC-DS
Q6,90.48508805599704,TPC-DS
Q7,1.2795544170003268,TPC-DS
Q8,0.0616987969988258,TPC-DS
Q9,2.1618043649978063,TPC-DS
Q10,4.667744221998873,TPC-DS
